n,Dynamic Programming Memoization,,,,,,,Dynamic Programming Tabulation,,,,,,,Greedy Highest Value,,,,,,,,Greedy Smallest Weight,,,,,,,,Greedy Greatest Worth Ratio,,,,,,,
,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Avg Time,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Avg Time,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Avg Time,Avg % Error,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Average Time,Avg % Error,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Average Time,Avg % Error
2800,4198,18538,4170,19151,4110,19666,19118,4198,7111,4170,7072,4110,7279,7154,1002,68,1002,66,1502,64,66,71.85%,3009,59,2377,71,2342,60,63,38.11%,4014,21,4054,22,3693,21,21,5.77%
2900,4198,19886,4170,20808,4150,20186,20293,4198,7792,4170,10562,4150,6906,8420,1002,70,1002,118,1502,66,84,71.97%,3009,62,2377,101,2342,62,75,38.30%,4014,22,4054,33,4059,22,25,3.12%
3000,4281,20334,4170,20461,4191,19479,20091,4281,8650,4170,7434,4191,7520,7868,1002,68,1002,68,1502,77,71,72.24%,2996,63,2407,63,2342,64,63,38.80%,4110,23,4054,24,4130,22,23,2.74%
3100,4281,22177,4170,21900,4191,22044,22040,4281,7562,4170,7722,4191,7336,7540,1002,81,1002,63,1502,77,73,72.24%,2996,65,2407,64,2342,68,65,38.80%,4110,23,4054,23,4130,23,23,2.74%
3200,4281,23780,4170,21995,4191,22552,22775,4281,8235,4170,8136,4191,8964,8445,1002,75,1002,90,1503,85,83,72.23%,2996,70,2407,83,2342,80,77,38.80%,4110,24,4054,28,4130,28,26,2.74%
3300,4281,21874,4170,22408,4217,21316,21866,4281,8254,4170,9014,4217,7845,8371,1002,118,1002,71,1503,72,87,72.31%,2996,78,2407,78,2342,81,79,38.92%,4110,30,4054,29,4169,24,27,2.64%
3400,4281,25572,4170,22976,4217,22606,23718,4281,8704,4170,8617,4217,8378,8566,1002,79,1002,84,1503,83,82,72.31%,2996,79,2407,77,2501,92,82,37.66%,4110,27,4054,29,4169,30,28,2.64%
3500,4340,23524,4170,24522,4217,22731,23592,4340,9076,4170,9625,4217,8472,9057,1002,79,1002,84,1503,78,80,72.41%,3093,75,2407,78,2501,76,76,37.23%,4157,25,4054,25,4169,26,25,2.71%
3600,4340,24438,4170,23791,4217,24953,24394,4340,8764,4170,8652,4217,8955,8790,1002,118,1002,76,1503,76,90,72.41%,3093,83,2407,75,2501,77,78,37.23%,4157,27,4054,26,4169,28,27,2.71%
3700,4340,24720,4170,26592,4232,24789,25367,4340,8844,4170,9547,4232,9338,9243,1002,81,1002,83,1503,81,81,72.46%,2853,79,2407,86,2794,84,83,36.84%,4157,27,4054,27,4165,27,27,2.86%
3800,4340,27024,4170,26097,4232,24622,25914,4340,10040,4170,9339,4232,10131,9836,1002,84,1002,84,1503,95,87,72.46%,2853,91,2407,87,2794,78,85,36.84%,4157,28,4054,28,4165,27,27,2.86%
3900,4358,26674,4170,26963,4232,26389,26675,4358,10379,4170,9566,4232,10100,10015,1002,102,1002,107,1503,96,101,72.49%,2871,100,2413,112,2794,94,102,36.74%,4188,33,4054,29,4165,28,30,2.76%
4000,4358,27023,4170,28212,4232,27028,27421,4358,10240,4170,9973,4232,9944,10052,1002,101,1002,118,1503,130,116,72.49%,2871,102,2413,94,2794,91,95,36.74%,4188,30,4054,37,4165,30,32,2.76%
4100,4358,33364,4170,28358,4232,26965,29562,4358,10567,4170,9706,4232,11305,10526,1002,87,1002,103,1503,90,93,72.49%,2871,140,2413,86,2794,96,107,36.74%,4188,36,4054,29,4165,38,34,2.76%
4200,4365,29603,4170,29063,4232,28601,29089,4365,10954,4170,10489,4232,10098,10513,1002,115,1002,86,1503,90,97,72.50%,2871,97,2413,109,2794,101,102,36.78%,4327,37,4054,37,4165,36,36,1.75%
4300,4365,31725,4170,29965,4232,29447,30379,4365,10912,4170,10724,4232,11594,11076,1002,87,1002,108,1503,87,94,72.50%,2762,99,2413,96,2794,97,97,37.61%,4327,37,4054,31,4165,36,34,1.75%
4400,4365,31219,4210,31693,4232,30291,31067,4365,11132,4210,11356,4232,11140,11209,1002,127,1002,99,1503,95,107,72.58%,2762,135,2413,101,2794,94,110,37.80%,4327,53,4198,32,4165,32,39,0.91%
4500,4365,32909,4210,31853,4232,30000,31587,4365,11499,4210,11739,4232,10647,11295,1002,110,1002,147,1503,101,119,72.58%,2762,123,2413,109,2794,108,113,37.80%,4327,36,4198,37,4165,32,35,0.91%
4600,4365,33429,4210,32052,4273,35768,33749,4365,13125,4210,12369,4273,11711,12401,1002,101,1002,117,1503,103,107,72.69%,2762,101,2413,97,2942,98,98,36.85%,4327,33,4198,35,4165,33,33,1.23%
4700,4365,33809,4212,32384,4273,31093,32428,4365,11794,4212,11266,4273,11721,11593,1002,107,1002,97,1503,102,102,72.69%,2762,101,2413,105,2942,116,107,36.86%,4327,34,4198,48,4165,34,38,1.24%
4800,4365,35105,4212,33276,4273,31790,33390,4365,11759,4212,11453,4273,11866,11692,1002,123,1002,109,1503,94,108,72.69%,2762,108,2413,102,2942,102,104,36.86%,4327,34,4198,34,4165,34,34,1.24%
4900,4365,33864,4212,34444,4273,32785,33697,4365,12554,4212,11820,4273,11780,12051,1002,104,1002,100,1503,98,100,72.69%,2762,105,2413,103,2942,100,102,36.86%,4327,36,4198,41,4165,34,37,1.24%
5000,4365,36236,4212,33833,4273,37851,35973,4365,12630,4212,12444,4273,12455,12509,1002,109,1002,104,1503,124,112,72.69%,2762,107,2413,105,2942,125,112,36.86%,4327,37,4198,35,4165,41,37,1.24%
5100,4365,36902,4212,34328,4273,33447,34892,4365,13455,4212,12573,4273,12371,12799,1002,111,1002,105,1503,112,109,72.69%,2762,114,2413,105,2942,111,110,36.86%,4327,38,4198,35,4165,34,35,1.24%
5200,4365,38386,4251,35786,4273,34619,36263,4365,13712,4251,13315,4273,12527,13184,1002,123,1002,113,1503,115,117,72.77%,2762,116,2778,106,2854,125,115,34.86%,4327,37,4198,42,4165,35,38,1.55%
5300,4365,40116,4251,36561,4273,36184,37620,4365,13201,4251,12568,4273,14110,13293,1002,110,1002,107,1503,110,109,72.77%,2734,113,2778,117,2854,118,116,35.07%,4327,44,4198,36,4165,37,39,1.55%
5400,4365,38475,4258,37529,4273,37528,37844,4365,13786,4258,14219,4273,13720,13908,1002,115,1002,117,1503,120,117,72.78%,2734,118,2778,116,2854,114,116,35.11%,4327,39,4198,39,4165,38,38,1.60%
5500,4365,41337,4258,37445,4273,37999,38927,4365,13874,4258,13461,4273,13441,13592,1002,124,1002,111,1503,113,116,72.78%,2734,117,2778,113,2854,124,118,35.11%,4327,39,4198,38,4165,39,38,1.60%
5600,4365,40452,4258,39936,4273,37828,39405,4365,15248,4258,13667,4273,14171,14362,1002,115,1002,124,1503,121,120,72.78%,2734,119,2778,121,2854,129,123,35.11%,4327,39,4198,39,4165,39,39,1.60%
5700,4365,49192,4285,38031,4314,38123,41782,4365,14688,4285,13709,4314,13859,14085,1002,125,1002,117,1503,118,120,72.94%,2734,121,2778,125,2854,128,124,35.46%,4327,40,4198,39,4165,40,39,2.12%
5800,4365,40915,4285,40501,4314,38567,39994,4365,14709,4285,14459,4314,14724,14630,1002,117,1002,137,1503,113,122,72.94%,2734,136,2778,122,2854,118,125,35.46%,4327,42,4198,41,4165,38,40,2.12%
5900,4365,44421,4285,40721,4314,41612,42251,4365,14559,4285,14483,4314,14494,14512,1002,122,1002,110,1503,118,116,72.94%,2734,130,2778,135,2854,120,128,35.46%,4327,41,4198,44,4165,39,41,2.12%
6000,4365,43054,4285,40831,4314,40685,41523,4365,14358,4285,15334,4314,15514,15068,1002,121,1002,120,1503,122,121,72.94%,2734,126,2778,132,2854,132,130,35.46%,4327,41,4198,41,4165,43,41,2.12%
6100,4365,45905,4285,40839,4314,47204,44649,4365,15976,4285,16727,4314,17642,16781,1002,127,1002,169,1503,129,141,72.94%,2734,134,2778,139,2854,141,138,35.46%,4327,43,4198,43,4165,51,45,2.12%
6200,4365,43526,4285,42504,4314,42699,42909,4365,15237,4285,16406,4314,15788,15810,1002,124,1002,119,1503,125,122,72.94%,2734,143,2778,133,2854,127,134,35.46%,4327,44,4198,42,4165,41,42,2.12%
6300,4365,45958,4285,43514,4314,44708,44726,4365,15344,4285,15590,4314,15514,15482,1002,133,1002,125,1503,127,128,72.94%,2520,133,2778,139,2854,144,138,37.09%,4327,43,4198,44,4165,43,43,2.12%
6400,4375,47626,4285,45060,4314,43572,45419,4375,15693,4285,16084,4314,15796,15857,1002,115,1002,144,1503,130,129,72.96%,2520,133,2778,137,2854,136,135,37.14%,4327,44,4198,43,4165,46,44,2.19%
6500,4375,47213,4285,48749,4314,46524,47495,4375,18058,4285,17574,4314,16772,17468,1002,151,1002,139,1503,125,138,72.96%,2520,144,2778,142,2854,147,144,37.14%,4327,46,4198,53,4165,45,48,2.19%
6600,4375,47856,4285,46519,4314,44499,46291,4375,17698,4285,16141,4314,17663,17167,1002,151,1002,145,1503,130,142,72.96%,2520,141,2778,164,2854,134,146,37.14%,4327,46,4198,46,4165,43,45,2.19%
6700,4375,47777,4285,46150,4314,45700,46542,4375,17782,4285,17336,4314,17187,17435,1002,161,1002,123,1503,133,139,72.96%,2520,144,2778,146,2854,138,142,37.14%,4327,47,4198,45,4165,45,45,2.19%
6800,4375,49871,4285,50273,4314,47223,49122,4375,16507,4285,16365,4314,17217,16696,1002,128,1002,131,1503,134,131,72.96%,2520,151,2778,142,2854,141,144,37.14%,4327,47,4198,47,4165,46,46,2.19%
6900,4375,49086,4285,46906,4314,46430,47474,4375,18020,4285,18075,4314,17310,17801,1002,130,1002,144,1503,137,137,72.96%,2520,163,2778,147,2854,143,151,37.14%,4327,48,4198,48,4165,46,47,2.19%
7000,4380,50310,4285,47288,4314,49484,49027,4380,17700,4285,17645,4314,16867,17404,1002,130,1002,137,1503,208,158,72.97%,2520,149,2778,144,2854,141,144,37.16%,4327,55,4198,48,4165,46,49,2.23%
7100,4380,54668,4285,48429,4314,49176,50757,4380,18145,4285,15468,4314,11562,15058,1002,137,1002,124,1503,135,132,72.97%,2520,150,2778,156,2854,157,154,37.16%,4327,49,4198,47,4165,48,48,2.23%
7200,4380,52984,4285,44640,4351,45446,47690,4380,17066,4285,16548,4351,16544,16719,1002,151,1002,126,1503,120,132,73.07%,2520,156,2778,146,2854,147,149,37.35%,4327,49,4198,47,4165,54,50,2.51%
7300,4380,54877,4285,51318,4351,51024,52406,4380,17736,4285,17815,4351,17905,17818,1002,135,1002,134,1503,135,134,73.07%,2520,167,2778,157,2854,151,158,37.35%,4327,51,4198,49,4165,49,49,2.51%
7400,4380,54487,4285,47568,4351,52671,51575,4380,17272,4285,18489,4351,18000,17920,1002,133,1002,204,1503,141,159,73.07%,2520,155,2778,241,2850,159,185,37.38%,4327,50,4198,88,4165,50,62,2.51%
7500,4380,54637,4285,56310,4351,56265,55737,4380,18953,4285,17756,4351,19362,18690,1002,146,1002,159,1503,136,147,73.07%,2520,158,2778,165,2850,297,206,37.38%,4327,51,4198,51,4165,51,51,2.51%
7600,4380,53920,4285,51539,4351,52314,52591,4380,14394,4285,13579,4351,13159,13710,1002,166,1002,142,1503,148,152,73.07%,2520,169,2864,158,2850,158,161,36.71%,4327,52,4198,51,4165,51,51,2.51%
7700,4380,55516,4285,47101,4351,51874,51497,4380,12979,4285,14067,4351,12160,13068,1002,132,1002,139,1503,131,134,73.07%,2520,195,2864,162,2850,171,176,36.71%,4327,53,4198,71,4165,52,58,2.51%
7800,4382,55270,4285,52647,4353,50500,52805,4382,14529,4285,12962,4353,19083,15524,1002,135,1002,134,1503,144,137,73.07%,2520,164,2864,250,2850,186,200,36.73%,4327,53,4198,140,4165,52,81,2.53%
7900,4382,56209,4285,49934,4353,54646,53596,4382,13863,4285,19473,4353,13776,15704,1002,134,1002,138,1503,155,142,73.07%,2520,198,2864,168,2850,161,175,36.73%,4327,56,4198,57,4165,51,54,2.53%
8000,4382,51750,4285,48978,4353,55734,52154,4382,15209,4285,14802,4353,12842,14284,1002,135,1002,157,1503,138,143,73.07%,2520,177,2864,173,2850,165,171,36.73%,4327,54,4198,52,4165,53,53,2.53%
8100,4382,59579,4287,53997,4353,52546,55374,4382,15101,4287,14799,4353,19267,16389,1002,152,1002,143,1503,133,142,73.08%,2520,171,2864,183,2850,173,175,36.74%,4327,55,4198,53,4165,53,53,2.55%
8200,4382,60972,4308,51367,4353,50230,54189,4382,14133,4308,13117,4353,15045,14098,1002,143,1002,141,1503,141,141,73.12%,2520,181,2864,169,2850,167,172,36.85%,4327,58,4198,62,4165,53,57,2.71%
8300,4382,60492,4308,50982,4353,51337,54270,4382,13710,4308,13719,4353,14162,13863,1002,144,1002,132,1503,146,140,73.12%,2520,186,2864,179,2850,173,179,36.85%,4327,57,4198,56,4165,55,56,2.71%
8400,4382,56694,4308,57217,4353,52007,55306,4382,21734,4308,13654,4353,14176,16521,1002,160,1002,149,1503,142,150,73.12%,2520,177,2864,180,2850,172,176,36.85%,4327,57,4198,57,4165,61,58,2.71%
8500,4382,54878,4308,58036,4353,52781,55231,4382,16096,4308,14077,4353,13532,14568,1002,157,1002,142,1503,162,153,73.12%,2520,180,2524,180,2850,188,182,39.48%,4327,58,4198,65,4165,68,63,2.71%
8600,4382,63332,4308,54873,4353,54660,57621,4382,14132,4308,19551,4353,13370,15684,1002,156,1002,136,1503,138,143,73.12%,2520,182,2524,180,2850,184,182,39.48%,4327,59,4198,56,4165,56,57,2.71%
8700,4382,63257,4308,52280,4353,56672,57403,4382,14402,4308,14505,4353,14488,14465,1002,155,1002,162,1503,139,152,73.12%,2520,195,2524,198,2850,205,199,39.48%,4327,61,4198,58,4165,57,58,2.71%
8800,4382,58247,4313,54868,4353,61143,58086,4382,14924,4313,17000,4353,14571,15498,1002,170,1002,175,1503,143,162,73.12%,2520,197,2524,181,2850,193,190,39.50%,4327,61,4198,57,4165,58,58,2.75%
8900,4382,62225,4313,62175,4353,55592,59997,4382,23200,4313,14273,4353,15497,17656,1002,167,1002,150,1503,151,156,73.12%,2520,225,2524,188,2850,209,207,39.50%,4327,62,4198,60,4165,75,65,2.75%
9000,4382,61496,4313,55204,4353,59835,58845,4382,14646,4313,15774,4353,20633,17017,1002,162,1002,154,1503,142,152,73.12%,2520,194,2524,194,2639,186,191,41.12%,4327,59,4198,62,4165,65,62,2.75%
9100,4382,66808,4313,57007,4404,57844,60553,4382,15458,4313,14603,4404,14752,14937,1002,146,1002,150,1503,168,154,73.26%,2520,319,2524,189,2639,186,231,41.35%,4327,71,4198,61,4165,59,63,3.12%
9200,4393,60760,4313,55622,4404,56000,57460,4393,15298,4313,14659,4404,15077,15011,1002,146,1002,156,1503,147,149,73.28%,2520,201,2524,191,2639,209,200,41.40%,4327,62,4198,61,4165,59,60,3.20%
9300,4393,62120,4313,59021,4404,59148,60096,4393,15973,4313,16848,4404,15582,16134,1002,160,1002,159,1503,167,162,73.28%,2520,208,2524,194,2639,248,216,41.40%,4327,545,4198,60,4165,61,222,3.20%
9400,4393,64020,4313,56468,4404,58910,59799,4393,16148,4313,15957,4404,17770,16625,1002,171,1002,165,1503,148,161,73.28%,2520,200,2524,212,2639,196,202,41.40%,4327,64,4198,62,4165,66,64,3.20%
9500,4393,69958,4360,57863,4404,58667,62162,4393,15310,4360,15455,4404,14856,15207,1002,150,1002,173,1503,171,164,73.36%,2520,204,2524,212,2639,211,209,41.61%,4327,63,4198,64,4165,63,63,3.55%
9600,4393,63599,4360,60553,4404,60578,61576,4393,16025,4360,15881,4404,16079,15995,1002,159,1002,169,1503,157,161,73.36%,2520,204,2524,210,2639,198,204,41.61%,4327,65,4198,63,4165,63,63,3.55%
9700,4393,65390,4360,60524,4404,60052,61988,4393,17794,4360,15947,4404,16149,16630,1002,174,1002,166,1503,153,164,73.36%,2520,211,2524,224,2639,211,215,41.61%,4327,65,4198,65,4165,64,64,3.55%
9800,4393,64854,4360,60725,4433,62502,62693,4393,17087,4360,17422,4433,16086,16865,1002,149,1002,167,1503,179,165,73.43%,2520,209,2524,214,2639,207,210,41.74%,4327,65,4198,95,4165,1781,647,3.75%
9900,4393,72468,4360,62289,4433,63116,65957,4393,16507,4360,16393,4433,16253,16384,1002,153,1002,174,1503,174,167,73.43%,2582,210,2524,221,2639,210,213,41.27%,4327,65,4198,65,4165,69,66,3.75%
10000,4393,71125,4360,62316,4433,62923,65454,4393,16578,4360,16221,4433,15537,16112,1002,163,1002,168,1503,218,183,73.43%,2582,214,2524,218,2639,218,216,41.27%,4327,65,4198,64,4165,66,65,3.75%
10100,4393,66211,4362,62631,4433,66133,64991,4393,16765,4362,20783,4433,16717,18088,1002,186,1002,156,1503,158,166,73.44%,2582,218,2524,244,2639,227,229,41.28%,4327,69,4198,68,4165,68,68,3.77%
10200,4400,66481,4384,64722,4433,64282,65161,4400,19045,4384,18899,4433,18677,18873,1002,165,1002,178,1503,193,178,73.49%,2582,221,2524,225,2639,220,222,41.40%,4327,68,4198,69,4165,68,68,3.98%
10300,4400,76904,4384,66685,4433,64460,69349,4400,23996,4384,17224,4433,16948,19389,1002,200,1002,161,1503,177,179,73.49%,2582,221,2524,226,2639,329,258,41.40%,4327,73,4198,73,4165,154,100,3.98%
10400,4400,74182,4384,65548,4433,66864,68864,4400,17860,4384,18816,4433,18102,18259,1002,170,1002,169,1503,189,176,73.49%,2582,219,2524,221,2639,219,219,41.40%,4327,68,4198,69,4165,70,69,3.98%
10500,4400,70736,4384,68440,4433,67141,68772,4400,18663,4384,19493,4433,18278,18811,1002,167,1002,166,1503,164,165,73.49%,2582,233,2524,225,2639,222,226,41.40%,4327,70,4198,69,4165,72,70,3.98%
10600,4400,70459,4384,67130,4433,73724,70437,4400,19184,4384,18291,4433,19086,18853,1002,169,1002,162,1503,187,172,73.49%,2540,242,2524,228,2639,225,231,41.72%,4327,70,4198,71,4165,70,70,3.98%
10700,4400,72865,4403,67157,4433,69508,69843,4400,18876,4403,18296,4433,19513,18895,1002,186,1002,184,1503,164,178,73.52%,2540,242,2524,232,2639,227,233,41.81%,4327,72,4198,70,4165,71,71,4.12%
10800,4400,70560,4403,68057,4433,69428,69348,4400,19647,4403,19137,4433,18686,19156,1002,176,1002,201,1503,182,186,73.52%,2540,229,2524,242,2597,231,234,42.12%,4327,71,4198,73,4165,72,72,4.12%
10900,4411,76742,4403,75199,4433,73094,75011,4411,19380,4403,20413,4433,18035,19276,1002,185,1002,176,1503,187,182,73.54%,2527,246,2524,246,2597,242,244,42.27%,4327,73,4198,77,4165,69,73,4.20%
11000,4411,72723,4403,80623,4433,80303,77883,4411,21254,4403,27132,4433,22595,23660,1002,169,1002,163,1503,228,186,73.54%,2527,239,2524,231,2597,240,236,42.27%,4327,73,4198,72,4165,73,72,4.20%
11100,4411,72403,4403,69561,4433,69955,70639,4411,18596,4403,18584,4433,17589,18256,1002,186,1002,187,1503,176,183,73.54%,2527,233,2524,236,2597,228,232,42.27%,4327,78,4198,84,4165,83,81,4.20%
11200,4411,74878,4403,69247,4433,71915,72013,4411,19537,4403,18317,4433,18656,18836,1002,182,1002,188,1503,198,189,73.54%,2527,242,2524,237,2597,236,238,42.27%,4327,75,4198,80,4165,75,76,4.20%
11300,4411,81430,4403,70043,4438,71114,74195,4411,18799,4403,18842,4438,20151,19264,1002,191,1002,171,1503,184,182,73.55%,2527,245,2524,247,2587,241,244,42.36%,4327,75,4198,76,4165,76,75,4.24%
11400,4411,82524,4403,71249,4438,74856,76209,4411,18904,4403,18235,4438,18999,18712,1002,340,1002,182,1503,188,236,73.55%,2527,256,2524,237,2587,241,244,42.36%,4327,77,4198,80,4165,74,77,4.24%
11500,4411,74311,4403,70977,4438,72356,72548,4411,19149,4403,18657,4438,19754,19186,1002,198,1002,177,1503,171,182,73.55%,2527,350,2524,240,2587,239,276,42.36%,4327,86,4198,75,4165,77,79,4.24%
11600,4412,80530,4403,71757,4438,71746,74677,4412,19325,4403,20264,4438,18467,19352,1002,175,1002,189,1503,193,185,73.56%,2527,240,2524,246,2587,244,243,42.37%,4327,74,4198,75,4165,75,74,4.24%
11700,4412,78010,4403,72906,4438,74528,75148,4412,20177,4403,18871,4438,19435,19494,1002,186,1002,187,1503,199,190,73.56%,2527,254,2524,250,2587,245,249,42.37%,4327,78,4198,77,4165,80,78,4.24%
11800,4412,77947,4403,75715,4438,78500,77387,4412,20304,4403,18728,4438,21957,20329,1002,184,1002,206,1503,195,195,73.56%,2527,240,2524,253,2587,247,246,42.37%,4327,77,4198,78,4165,77,77,4.24%
11900,4412,78283,4403,74153,4438,79205,77213,4412,19824,4403,21539,4438,19724,20362,1002,173,1002,181,1503,198,184,73.56%,2527,256,2524,241,2587,254,250,42.37%,4327,79,4198,76,4165,78,77,4.24%
12000,4412,79332,4403,77021,4438,85641,80664,4412,20211,4403,20470,4438,18978,19886,1002,197,1002,201,1503,197,198,73.56%,2527,250,2524,261,2587,242,251,42.37%,4327,80,4198,2345,4165,79,834,4.24%
12100,4412,80753,4403,78597,4438,76963,78771,4412,19886,4403,18985,4438,18948,19273,1002,219,1002,175,1503,181,191,73.56%,2527,258,2524,247,2587,255,253,42.37%,4327,87,4198,77,4165,78,80,4.24%
